dataset_id,figure_group,row_id,col_id,value
matrix_values_v1,method_correlation_heatmap,Method A,Method A,1.000000
matrix_values_v1,method_correlation_heatmap,Method A,Method B,0.531000
matrix_values_v1,method_correlation_heatmap,Method A,Method C,0.312000
matrix_values_v1,method_correlation_heatmap,Method A,Method D,0.641000
matrix_values_v1,method_correlation_heatmap,Method A,Method E,0.294000
matrix_values_v1,method_correlation_heatmap,Method A,Method F,0.416000
matrix_values_v1,method_correlation_heatmap,Method A,Method G,0.575000
matrix_values_v1,method_correlation_heatmap,Method A,Method H,0.380000
matrix_values_v1,method_correlation_heatmap,Method B,Method A,0.531000
matrix_values_v1,method_correlation_heatmap,Method B,Method B,1.000000
matrix_values_v1,method_correlation_heatmap,Method B,Method C,0.597000
matrix_values_v1,method_correlation_heatmap,Method B,Method D,0.695000
matrix_values_v1,method_correlation_heatmap,Method B,Method E,0.249000
matrix_values_v1,method_correlation_heatmap,Method B,Method F,0.249000
matrix_values_v1,method_correlation_heatmap,Method B,Method G,0.350000
matrix_values_v1,method_correlation_heatmap,Method B,Method H,0.903000
matrix_values_v1,method_correlation_heatmap,Method C,Method A,0.312000
matrix_values_v1,method_correlation_heatmap,Method C,Method B,0.597000
matrix_values_v1,method_correlation_heatmap,Method C,Method C,1.000000
matrix_values_v1,method_correlation_heatmap,Method C,Method D,0.568000
matrix_values_v1,method_correlation_heatmap,Method C,Method E,0.536000
matrix_values_v1,method_correlation_heatmap,Method C,Method F,0.848000
matrix_values_v1,method_correlation_heatmap,Method C,Method G,0.215000
matrix_values_v1,method_correlation_heatmap,Method C,Method H,0.506000
matrix_values_v1,method_correlation_heatmap,Method D,Method A,0.641000
matrix_values_v1,method_correlation_heatmap,Method D,Method B,0.695000
matrix_values_v1,method_correlation_heatmap,Method D,Method C,0.568000
matrix_values_v1,method_correlation_heatmap,Method D,Method D,1.000000
matrix_values_v1,method_correlation_heatmap,Method D,Method E,0.373000
matrix_values_v1,method_correlation_heatmap,Method D,Method F,0.581000
matrix_values_v1,method_correlation_heatmap,Method D,Method G,0.558000
matrix_values_v1,method_correlation_heatmap,Method D,Method H,0.461000
matrix_values_v1,method_correlation_heatmap,Method E,Method A,0.294000
matrix_values_v1,method_correlation_heatmap,Method E,Method B,0.249000
matrix_values_v1,method_correlation_heatmap,Method E,Method C,0.536000
matrix_values_v1,method_correlation_heatmap,Method E,Method D,0.373000
matrix_values_v1,method_correlation_heatmap,Method E,Method E,1.000000
matrix_values_v1,method_correlation_heatmap,Method E,Method F,0.591000
matrix_values_v1,method_correlation_heatmap,Method E,Method G,0.847000
matrix_values_v1,method_correlation_heatmap,Method E,Method H,0.869000
matrix_values_v1,method_correlation_heatmap,Method F,Method A,0.416000
matrix_values_v1,method_correlation_heatmap,Method F,Method B,0.249000
matrix_values_v1,method_correlation_heatmap,Method F,Method C,0.848000
matrix_values_v1,method_correlation_heatmap,Method F,Method D,0.581000
matrix_values_v1,method_correlation_heatmap,Method F,Method E,0.591000
matrix_values_v1,method_correlation_heatmap,Method F,Method F,1.000000
matrix_values_v1,method_correlation_heatmap,Method F,Method G,0.527000
matrix_values_v1,method_correlation_heatmap,Method F,Method H,0.154000
matrix_values_v1,method_correlation_heatmap,Method G,Method A,0.575000
matrix_values_v1,method_correlation_heatmap,Method G,Method B,0.350000
matrix_values_v1,method_correlation_heatmap,Method G,Method C,0.215000
matrix_values_v1,method_correlation_heatmap,Method G,Method D,0.558000
matrix_values_v1,method_correlation_heatmap,Method G,Method E,0.847000
matrix_values_v1,method_correlation_heatmap,Method G,Method F,0.527000
matrix_values_v1,method_correlation_heatmap,Method G,Method G,1.000000
matrix_values_v1,method_correlation_heatmap,Method G,Method H,0.465000
matrix_values_v1,method_correlation_heatmap,Method H,Method A,0.380000
matrix_values_v1,method_correlation_heatmap,Method H,Method B,0.903000
matrix_values_v1,method_correlation_heatmap,Method H,Method C,0.506000
matrix_values_v1,method_correlation_heatmap,Method H,Method D,0.461000
matrix_values_v1,method_correlation_heatmap,Method H,Method E,0.869000
matrix_values_v1,method_correlation_heatmap,Method H,Method F,0.154000
matrix_values_v1,method_correlation_heatmap,Method H,Method G,0.465000
matrix_values_v1,method_correlation_heatmap,Method H,Method H,1.000000
